Nas,Clatell,Espatlla dreta,Colze dret,Canell dret,Espatlla esquerra,Colze esquerre,Canell esquerre,Cadera centre,Cadera banda dreta,Genoll dret,Turmell dret,Cadera banda esquerra,Genoll esquerre,Turmell esquerre,Ull dret,Ull esquerre,Orella dreta,Orella esquerre,Dit gros esquerre,Dit petit esquerre,Taló esquerre,Dit gros dret,Dit petit dret,Taló dret
"[-0.0011998457135923744, -0.39340420712698265]","[0.0013320168617571495, -0.2255667237176512]","[0.0011021591641817157, -2.325823679059733]","[-0.00026786442503989665, -2.993018066561256]","[6.16327417821259e-05, -2.9949850152797213]","[0.0006288239029629592, 1.957037860807954]","[5.0054135461711664e-05, 3.134066824007942]","[0.0003811099608268669, 3.051359076850093]","[0.001011573484657775, -0.14129813914390515]","[-0.0016921553251323445, -1.4840503605262374]","[-0.00218742839476076, -1.0669857957655329]","[-6.075779057688465e-05, -1.5678683083413498]","[0.0004981297629514166, 1.1227844514421441]","[-0.0016416465697796825, 1.7085838588036395]","[0.0005785053211541865, 2.1267757493970167]","[-0.0005609400134463012, -0.9003358209481704]","[0.0015526707331959119, -0.14046536632827616]","[0.0010071679568319984, -1.5694687783060517]","[0.0014696690599247614, 0.5305743569887742]","[0.001132464608522503, 2.9669662124319465]","[-0.0006608795555209364, 3.3006438945071324]","[-0.0008026142731834981, 1.7889694321759568]","[-0.0013611950643621085, -2.1565134305651825]","[0.00041260040614465247, -2.4939973051978175]","[-0.0007832509749609631, -1.2339807205447155]"
"[-0.001295977176407567, -0.392977470644352]","[0.001454972017093722, -0.22593347933967278]","[0.0005351691763848517, -2.328218294419556]","[-0.0001027357161802254, -2.9168999446183617]","[0.0003912047499526174, -2.9945287405704333]","[0.0005101210354880592, 1.8774419619493803]","[-0.00024797267498139093, 3.1354763571724886]","[0.000717677661760335, 3.05142373368768]","[0.0012846257287619461, -0.14188868799999316]","[-0.0017144911784910282, -1.484865634198157]","[-0.002217637665796252, -1.0659222332282996]","[-6.634473228944295e-05, -1.5679167221246344]","[0.0008178272020893515, 1.1226875064418527]","[-0.0015549513765349325, 1.7087865067844732]","[0.0005644622787527596, 2.126666694053111]","[-0.0006680928787025717, -0.9004897057838481]","[0.0009544987082284168, -0.14040743355252983]","[0.00037618485249513395, -1.5687444819629226]","[0.0008429480044888027, 0.5301406926220389]","[0.0011788200640943892, 3.04990038146015]","[-3.8363361259005775e-05, 3.3038958689653937]","[-0.00042149407976487283, 1.7910543801980816]","[-0.0009982007777880328, -2.1580830533343973]","[0.000613987785321512, -2.4947629864722813]","[-0.0009162376467165753, -1.3158352150852142]"
"[-0.0010897140824163891, -0.37794350006033955]","[0.0009513524817520016, -0.2115617696164295]","[0.0008668908548171881, -2.300090691593346]","[0.00013717544396714095, -2.960719228340255]","[0.0004258776200547293, -2.962246357608269]","[0.0006756977254641134, 1.8775238422719411]","[-0.0006009619149326544, 3.1260281079315786]","[0.0006490948531432545, 3.0437848310392512]","[0.0009767237308210257, -0.12817594137745003]","[-0.0017752040578711348, -1.4630016629488694]","[-0.0018518543256158223, -1.0473862127065907]","[0.0001174970101600676, -1.5452298678872622]","[0.0009735131539401824, 1.1284788480163472]","[-0.0017796044758734502, 1.7100034500178782]","[0.00042289589529701037, 2.1248691920999283]","[-0.00054050886986071, -0.957694959610279]","[0.0012334435853035264, -0.12651219213989967]","[0.00018431423336138546, -1.545282376630002]","[0.0003534520954460585, 0.5402000658838843]","[0.0009291215396173012, 3.0417447691453994]","[2.8989163737152004e-05, 3.2937138054868593]","[-0.00034730545028085477, 1.7913715811978763]","[-0.0010692579312282418, -2.210480146379394]","[0.0009012794472936323, -2.5472717085042405]","[-0.0007729077260964915, -1.2941218776883217]"
"[-0.0010074334706408584, -0.3667912323461201]","[0.00035887455554498915, -0.1991162646554288]","[0.0011598673372921688, -2.2939377316238536]","[0.00025143776490533804, -2.956906214255643]","[9.382767971577353e-05, -2.9580740166379393]","[0.0011144710005560577, 1.8962186452810785]","[-0.000633948890563079, 3.147953593453614]","[1.9470560061454605e-05, 2.983514340422178]","[0.00027345881664548016, -0.19328359154602356]","[-0.0014582521979100275, -1.5330084265232504]","[-0.0015110949128650621, -1.0375876479404906]","[0.00043001560930273496, -1.5362675459901676]","[0.0009615873989450222, 1.1448433777081202]","[-0.0014965983315569083, 1.7268341514307504]","[0.00043068986889846305, 2.0613473649382206]","[-0.00034990656007794174, -0.9476288316912431]","[0.0016794014979937737, -0.11401735919713955]","[0.0004887780949456874, -1.537241283508934]","[0.000717102583753328, 0.5562280682168574]","[0.0003677789725224717, 3.0643467444837698]","[-0.00014656777007471104, 3.3160859300940313]","[-0.0004523159264155469, 1.807606093072549]","[-0.0012853836561628987, -2.2045157631503507]","[0.0008665834600316849, -2.541992610428007]","[-0.0008718434848473743, -1.2846097896065631]"
"[-0.0009176240373090376, -0.3793816575900293]","[0.0005069413946311798, -0.21075092186351546]","[0.0011952849909700517, -2.3074145794566]","[0.0003728108219494448, -2.9728417933197746]","[3.82804732269603e-06, -2.9732679268098696]","[0.0011485956040445011, 1.8862007297263115]","[-0.0004382982238085583, 3.137324751642628]","[0.00012051862337304044, 2.9719576224622504]","[4.418515099095147e-05, -0.12657076474110204]","[-0.0014501269202954244, -1.4672184527329506]","[-0.0017667162955412787, -1.0522020190373764]","[0.0003476218343040082, -1.5506874111210356]","[0.0008711582728407023, 1.213085540526367]","[-0.0015445238932610677, 1.717803317949701]","[0.0003896406618080759, 2.0512788886591102]","[-0.0005517902436517025, -0.8852431128682238]","[0.0019537975695462263, -0.12608947307874932]","[0.0009259760920233586, -1.5517695851732018]","[0.0008203179131204722, 0.543867544665392]","[0.00014312111832395113, 3.055379232684769]","[-0.00020479313361340275, 3.3079157990486636]","[-0.0005435712412486402, 1.7967224593146727]","[-0.0010667768604101036, -2.2206454051160134]","[0.0006938076265085293, -2.5581309261359984]","[-0.0010533848726179895, -1.299321857635421]"
"[-0.000945443610113694, -0.36713672895544763]","[0.0009214739793046907, -0.19775483911234953]","[0.001274438792744213, -2.2967814730661353]","[0.0002354018077598317, -2.9623446746690445]","[-0.00017326521460976353, -2.9628532453688416]","[0.001204900008935421, 1.9812033778442304]","[-0.00016991126931642527, 3.1537788349288554]","[-0.0001468554001491616, 2.987214846907496]","[-2.4678281759346147e-05, -0.1154142627179129]","[-0.001271903191018835, -1.4572929546190583]","[-0.0014758535986374095, -1.1200446276809608]","[0.00020644910163301457, -1.5392343933941537]","[0.0009607156163271171, 1.1482046319006167]","[-0.0012836300722862965, 1.7320037349436337]","[6.62942639624635e-05, 1.9826699765385543]","[-0.00026116243581367015, -0.9499260187069366]","[0.0018115003751910752, -0.113671150079223]","[0.0011305769629073408, -1.5404870113329432]","[0.0005736922756328537, 0.5575991820856749]","[7.28104787225298e-06, 3.0707894767002877]","[-0.00025135250364843246, 3.32335907223028]","[-0.0006663304774177827, 1.7312933970017461]","[-0.001339279801275791, -2.2098481270763166]","[0.0005867721851865039, -2.547487774985151]","[-0.0009698305614101772, -1.287839249316911]"
"[-0.001139655031991605, -0.37087023166446437]","[0.0010079933155121977, -0.2013273495401589]","[0.0012819079711407987, -2.3033230696418054]","[7.026572794212157e-05, -2.9699693584857965]","[-0.0002450295237476916, -2.892725293691429]","[0.00105343626797321, 1.9013921849753783]","[-7.570286221550052e-05, 3.1573555432320646]","[-0.00021163313074707506, 3.0706974865069308]","[0.00011746648591354168, -0.11780043860276908]","[-0.001384831144675172, -1.4623251086593838]","[-0.0015931478250083635, -1.1240042679597326]","[0.00025100426548777503, -1.545147780961487]","[0.0009102138307418529, 1.225563877177081]","[-0.0014261352728512115, 1.7323856791848284]","[-0.0001708814830414084, 1.9822039354203638]","[-0.0003581675832549752, -0.8772207468023154]","[0.0017838125822604001, -0.11670027984521225]","[0.0009874760260717948, -1.5456709436446847]","[0.0009353038997155839, 0.5546941140992308]","[0.0002128582609693685, 3.072375130733312]","[-9.941842095325197e-05, 3.245580641034466]","[-0.0005297251953370802, 1.731171980911367]","[-0.0010151519330505272, -2.217405956136841]","[0.0006939387552593116, -2.636367259218691]","[-0.0010561979821141088, -1.292562488420246]"
"[-0.001239552276116604, -0.36122576540474954]","[0.0011489087565828668, -0.19219361594350032]","[0.001265413381566726, -2.29498111850417]","[-2.7961377829447723e-05, -2.963096878013963]","[-0.0002537400846782637, -2.8858110173498757]","[0.0011912015510608617, 1.9918726982590036]","[-0.00012672395839348867, 3.169400945055251]","[-0.00016790620113698887, 3.0839019373413885]","[0.00036715494620938625, -0.18792101636912734]","[-0.0012104760994814294, -1.5333153122613579]","[-0.0013377657983726348, -1.033865367448757]","[0.000519772111789612, -1.5366887265057734]","[0.0006977282226297575, 1.1565040596058997]","[-0.001267781908147965, 1.7419315001864852]","[-2.1497029318064674e-05, 1.9929540714662728]","[-0.00038899782486864347, -0.9452990407144569]","[0.0015687508788860896, -0.10672791139000669]","[0.0008786926755930606, -1.5379282897247943]","[0.0005782573436160374, 0.5647294284609086]","[0.0001887712586032467, 3.003023253376338]","[-0.00045010877978825416, 3.255408315717096]","[-0.00029726204279004496, 1.7425701372617928]","[-0.0012799032790174894, -2.2095345142926526]","[0.00067678939621452, -2.629639679526601]","[-0.0010117638628128582, -1.284068093280642]"
"[-0.001336796658357618, -0.36247079224543594]","[0.0012376950308389098, -0.1930496146314092]","[0.0013299434572606548, -2.303410281508859]","[-0.00011113265342877339, -2.8968381238586525]","[-0.0002594605805613084, -2.8966557507492703]","[0.0012453374349761788, 1.9195595013088822]","[-7.740334441540644e-06, 3.181346446950119]","[-0.00016086684648338104, 3.0967617005042967]","[0.0005739675931334443, -0.18851437391130021]","[-0.0012288323383023356, -1.5390708160796827]","[-0.0013114922358146701, -1.0349802355975641]","[0.000666759436733794, -1.5425629416027322]","[0.0006920081734174502, 1.1606307658391946]","[-0.001230676692366116, 1.7478151557300565]","[-1.8925511350986005e-05, 2.0004741732677833]","[-0.0003463660447941209, -0.9485093284490473]","[0.0016000544384620042, -0.10676599630950871]","[0.0008978451916829352, -1.5431385720908362]","[0.0004944059416199749, 0.567228976790741]","[0.00024821779759052684, 3.01459647008106]","[-0.0005252059824143961, 3.268212086192528]","[-0.0005514973888082375, 1.748280182580395]","[-0.0013629920546492323, -2.218699692701845]","[0.0005838297508342016, -2.640658469637919]","[-0.0011180789247773586, -1.2895804698710065]"
"[-0.001456897420629459, -0.3685640542413592]","[0.0011191204549344678, -0.19933710239432323]","[0.001320415371997365, -2.3116349085072514]","[-0.0002523244482150303, -2.904932268223264]","[-0.00039622210047876415, -2.904689750848113]","[0.001232287415624696, 1.9143774380805443]","[-3.6542092575579314e-06, 3.177697177801345]","[-6.780867130031854e-05, 3.0928318379912603]","[0.0003802118569337517, -0.19475534411407924]","[-0.0012434908544192863, -1.5462254764467118]","[-0.0013802172113288028, -0.9625530558021242]","[0.0007108370119837687, -1.5498538905625674]","[0.000644970431998723, 1.1555538531164087]","[-0.00119119535520572, 1.7423425974356093]","[-0.00014243280181506577, 1.9152087856748767]","[-0.00020563704800770298, -0.8778067610321745]","[0.0017225276962368986, -0.11287596874044274]","[0.0008885975132238417, -1.5501072302140948]","[0.0006901090476252627, 0.5617729344150534]","[0.0001809518813982171, 3.0889417215557686]","[-0.0005093371788071048, 3.2640402502583976]","[-0.0004600210722641479, 1.7429948855480855]","[-0.0010713201972803437, -2.226169424279956]","[0.0006350022930249815, -2.6485249932650023]","[-0.0011444724059726551, -1.297731253205865]"
